no;spelling;meaning;level;category
1;a, an;하나의;Lv1;기타
2;about;~에관하여;Lv3;핵심표현_문법
3;across;~을 가로질러;Lv4;핵심표현_문법
4;act;행동;Lv1;기타
5;address;주소;Lv4;기타
6;afraid;두려워하여;Lv4;감정_상태
7;after;~후에;Lv3;핵심표현_문법
8;afternoon;오후;Lv4;기타
9;again;다시;Lv3;기타
10;age;나이;Lv1;기타
11;ago;~전에;Lv1;핵심표현_문법
12;air;공기;Lv1;기타
13;airport;공항;Lv4;교통_장소
14;album;사진첩;Lv3;기타
15;all;모두;Lv1;핵심표현_문법
16;along;~을 따라서;Lv3;핵심표현_문법
17;always;항상;Lv4;기타
18;among;~사이에서;Lv3;핵심표현_문법
19;and;그리고;Lv1;기타
20;angry;성난;Lv3;감정_상태
21;animal;동물;Lv4;동물
22;answer;대답;Lv4;기타
23;any;어떤;Lv1;핵심표현_문법
24;apartment;아파트;Lv4;교통_장소
25;apple;사과;Lv3;음식
26;arm;팔;Lv1;신체
27;around;~주위에;Lv4;핵심표현_문법
28;arrive;도착하다;Lv4;일반동사
29;as;~같은/~로서;Lv1;핵심표현_문법
30;ask;묻다;Lv1;일반동사
31;at;~에;Lv1;핵심표현_문법
32;aunt;이모/고모;Lv1;가족_사람
33;autumn;가을;Lv4;자연_날씨
34;away;떨어져;Lv1;기타
35;baby;아기;Lv1;가족_사람
36;back;뒤에;Lv1;기타
37;bad;나쁜;Lv1;일반형용사
38;bag;가방;Lv1;학교_물건
39;ball;공;Lv1;사물_도구
40;balloon;풍선;Lv4;사물_도구
41;banana;바나나;Lv4;음식
42;band;끈/악단;Lv1;사물_도구
43;bank;은행;Lv1;교통_장소
44;base;기초;Lv1;기타
45;basket;바구니;Lv4;사물_도구
46;bath;목욕;Lv1;집_가구
47;be;~이다;Lv1;핵심표현_문법
48;beach;해변;Lv3;교통_장소
49;bear;곰;Lv1;동물
50;beautiful;아름다움;Lv4;기타
51;because;~때문에;Lv4;핵심표현_문법
52;become;~이되다;Lv4;핵심표현_문법
53;bed;침대;Lv1;집_가구
54;before;~전에;Lv4;핵심표현_문법
55;begin;시작하다;Lv3;일반동사
56;behind;~뒤에;Lv4;핵심표현_문법
57;bell;종;Lv1;사물_도구
58;below;~아래;Lv3;핵심표현_문법
59;bench;긴의자;Lv3;기타
60;beside;~곁에;Lv4;핵심표현_문법
61;between;~사이에;Lv4;핵심표현_문법
62;bicycle;자전거;Lv4;교통_장소
63;big;큰;Lv1;일반형용사
64;bird;새;Lv1;동물
65;birthday;생일;Lv4;시간
66;black;검정색;Lv3;색깔
67;blow;불다;Lv1;일반동사
68;blue;푸른;Lv1;색깔
69;board;판자;Lv3;사물_도구
70;boat;배;Lv1;교통_장소
71;body;몸;Lv1;신체
72;book;책;Lv1;학교_물건
73;bottle;병;Lv4;사물_도구
74;bowl;사발;Lv1;사물_도구
75;box;상자;Lv1;사물_도구
76;boy;소년;Lv1;가족_사람
77;bread;빵;Lv3;음식
78;break;깨뜨리다;Lv3;일반동사
79;breakfast;아침;Lv4;음식
80;bridge;다리;Lv4;기타
81;bright;밝은;Lv4;일반형용사
82;bring;가져오다;Lv3;일반동사
83;brother;형제;Lv4;가족_사람
84;brown;갈색;Lv3;색깔
85;brush;솔;Lv3;사물_도구
86;build;건설하다;Lv3;일반동사
87;burn;불타다;Lv1;일반동사
88;bus;버스;Lv1;교통_장소
89;busy;바쁜;Lv1;일반형용사
90;but;그러나;Lv1;기타
91;butter;버터;Lv4;음식
92;button;단추;Lv4;옷_소지품
93;buy;사다;Lv1;일반동사
94;by;~옆에;Lv1;핵심표현_문법
95;bye;안녕;Lv1;감탄사_인사
96;calendar;달력;Lv4;시간
97;cake;케이크;Lv1;음식
98;call;부르다;Lv1;일반동사
99;camera;사진기;Lv4;취미_예술
100;camp;야영지;Lv1;기타
101;can;할수있다;Lv1;일반동사
102;candle;양초;Lv4;사물_도구
103;candy;사탕;Lv3;음식
104;cap;모자;Lv1;옷_소지품
105;capital;수도/대문자;Lv4;기타
106;captain;우두머리;Lv4;기타
107;car;자동차;Lv1;교통_장소
108;card;카드;Lv1;사물_도구
109;care;걱정/돌보다;Lv1;일반동사
110;carry;나르다;Lv3;일반동사
111;case;경우;Lv1;기타
112;cassette;카셋트;Lv4;사물_도구
113;cat;고양이;Lv1;동물
114;catch;붙잡다;Lv3;일반동사
115;ceiling;천장;Lv4;집_가구
116;center;중앙;Lv4;기타
117;chair;의자;Lv3;학교_물건
118;chalk;분필;Lv3;학교_물건
119;chance;기회;Lv4;기타
120;change;바꾸다;Lv4;일반동사
121;cheap;값싼;Lv3;기타
122;cheese;치즈;Lv4;음식
123;chicken;닭;Lv4;동물
124;child;어린이;Lv3;기타
125;chopstick;젓가락;Lv4;기타
126;church;교회;Lv4;교통_장소
127;circle;원;Lv4;기타
128;city;도시;Lv1;교통_장소
129;class;학급;Lv3;학교_물건
130;classmate;동급생;Lv4;가족_사람
131;clean;깨끗한;Lv3;일반형용사
132;climb;오르다;Lv3;일반동사
133;clock;시계;Lv3;기타
134;close;닫다;Lv3;일반동사
135;clothes;옷;Lv4;옷_소지품
136;cloud;구름;Lv3;자연_날씨
137;club;클럽;Lv1;기타
138;coat;코트;Lv1;옷_소지품
139;coffee;커피;Lv4;음식
140;coin;동전;Lv1;사물_도구
141;cold;추운;Lv1;일반형용사
142;color;색깔;Lv3;기타
143;come;오다;Lv1;일반동사
144;computer;컴퓨터;Lv4;사물_도구
145;cook;요리하다;Lv1;일반동사
146;cool;시원한;Lv1;일반형용사
147;copy;사본/베끼다;Lv1;일반동사
148;corner;모퉁이;Lv4;방향_위치
149;count;세다;Lv3;일반동사
150;country;지역;Lv4;교통_장소
151;course;과정;Lv4;기타
152;cousin;사촌;Lv4;가족_사람
153;cover;덮다;Lv3;일반동사
154;cow;암소;Lv1;동물
155;crayon;크레용;Lv4;사물_도구
156;cream;크림;Lv3;기타
157;cross;가로지르다;Lv3;일반동사
158;cry;울다;Lv1;일반동사
159;cup;컵;Lv1;사물_도구
160;curtain;커튼;Lv4;집_가구
161;cut;자르다;Lv1;일반동사
162;dad(dy);아빠/아버지;Lv1;가족_사람
163;dance;춤추다;Lv3;일반동사
164;danger;위험한;Lv4;일반형용사
165;dark;어두운;Lv1;일반형용사
166;date;날짜;Lv1;시간
167;daughter;딸;Lv4;가족_사람
168;day;낮/하루;Lv1;시간
169;dead;죽은;Lv1;일반형용사
170;deep;깊은;Lv1;일반형용사
171;dear;존경하는;Lv1;기타
172;desk;책상;Lv1;학교_물건
173;dial;다이얼;Lv1;사물_도구
174;diary;일기;Lv3;학교_물건
175;dictionary;사전;Lv4;학교_물건
176;die;죽다;Lv1;일반동사
177;dinner;저녁;Lv4;음식
178;dirty;더러운;Lv3;일반형용사
179;dish;큰접시;Lv1;사물_도구
180;do;하다;Lv1;일반동사
181;doctor;의사;Lv4;가족_사람
182;dog;개;Lv1;동물
183;doll;인형;Lv1;사물_도구
184;dollar;달러;Lv4;기타
185;dolphin;돌고래;Lv4;동물
186;door;문;Lv1;집_가구
187;down;아래에;Lv1;방향_위치
188;draw;그리다;Lv1;일반동사
189;dream;꿈;Lv3;기타
190;dress;드레스;Lv3;옷_소지품
191;drink;마시다;Lv3;일반동사
192;drive;운전하다;Lv3;일반동사
193;drop;떨어지다/방울;Lv1;기타
194;drum;북;Lv1;취미_예술
195;dry;마른;Lv1;기타
196;duck;오리;Lv1;동물
197;ear;귀;Lv1;신체
198;early;일찍;Lv3;시간
199;earth;지구;Lv3;교통_장소
200;east;동쪽;Lv1;방향_위치
201;easy;쉬운;Lv1;일반형용사
202;eat;먹다;Lv1;일반동사
203;egg;계란;Lv1;음식
204;empty;텅빈;Lv3;기타
205;end;끝;Lv1;기타
206;engine;엔진;Lv4;일반형용사
207;enjoy;즐기다;Lv3;일반동사
208;enough;충분한;Lv4;일반형용사
209;eraser;지우개;Lv4;학교_물건
