level;no;spelling;meaning;length
Lv1;1;a, an;하나의;1
Lv1;330;I;나;1
Lv1;29;as;~같은/~로서;2
Lv1;31;at;~에;2
Lv1;47;be;~이다;2
Lv1;94;by;~옆에;2
Lv1;180;do;하다;2
Lv1;272;go;가다;2
Lv1;298;he;그/남자;2
Lv1;307;hi;안녕하세요;2
Lv1;333;if;만약;2
Lv1;335;in;~속;2
Lv1;341;it;그것;2
Lv1;448;no;아니다/없다;2
Lv1;458;of;~의;2
Lv1;462;oh;오;2
Lv1;466;on;~위에;2
Lv1;470;or;또는;2
Lv1;612;so;그와같은;2
Lv1;710;to;~으로/~까지;2
Lv1;737;up;위에;2
Lv1;759;we;우리;2
Lv1;4;act;행동;3
Lv1;10;age;나이;3
Lv1;11;ago;~전에;3
Lv1;12;air;공기;3
Lv1;15;all;모두;3
Lv1;19;and;그리고;3
Lv1;23;any;어떤;3
Lv1;26;arm;팔;3
Lv1;30;ask;묻다;3
Lv1;37;bad;나쁜;3
Lv1;38;bag;가방;3
Lv1;53;bed;침대;3
Lv1;63;big;큰;3
Lv1;75;box;상자;3
Lv1;76;boy;소년;3
Lv1;88;bus;버스;3
Lv1;90;but;그러나;3
Lv1;93;buy;사다;3
Lv1;95;bye;안녕;3
Lv1;101;can;할수있다;3
Lv1;104;cap;모자;3
Lv1;107;car;자동차;3
Lv1;113;cat;고양이;3
Lv1;154;cow;암소;3
Lv1;158;cry;울다;3
Lv1;159;cup;컵;3
Lv1;161;cut;자르다;3
Lv1;162;dad(dy);아빠/아버지;3
Lv1;168;day;낮/하루;3
Lv1;176;die;죽다;3
Lv1;182;dog;개;3
Lv1;195;dry;마른;3
Lv1;197;ear;귀;3
Lv1;202;eat;먹다;3
Lv1;203;egg;계란;3
Lv1;205;end;끝;3
Lv1;217;eye;눈;3
Lv1;223;far;멀리떨어진;3
Lv1;226;fat;살찐;3
Lv1;230;few;다소양이적은;3
Lv1;241;fix;고정시키다;3
Lv1;245;fly;날다;3
Lv1;250;for;~을 위하여/~동안;3
Lv1;260;fun;즐거움;3
Lv1;263;gas;가스/휘발유;3
Lv1;266;get;얻다;3
Lv1;273;god(GOD);신/하나님;3
Lv1;295;hat;모자;3
Lv1;305;hen;암닭;3
Lv1;312;hit;때리다;3
Lv1;321;hot;뜨거운;3
Lv1;325;how;어떻게;3
Lv1;331;ice;얼음;3
Lv1;334;ill;병든;3
Lv1;336;ink;잉크;3
Lv1;342;job;직업;3
Lv1;349;key;열쇠;3
Lv1;351;kid;아이;3
Lv1;373;leg;다리;3
Lv1;375;let;허락하다;3
Lv1;378;lie;눕다/거짓말하다;3
Lv1;383;lip;입술;3
Lv1;391;lot;많음;3
Lv1;394;low;낮은;3
Lv1;398;mad;미친;3
Lv1;401;man;사람/남자;3
Lv1;403;map;지도;3
Lv1;408;may;~해도좋다/5월;3
Lv1;421;mom(my);엄마;3
Lv1;432;Mr.;~씨;3
Lv1;443;new;새로운;3
Lv1;452;not;아니다;3
Lv1;454;now;지금;3
Lv1;459;off;떨어진/끄다;3
Lv1;463;oil;기름;3
Lv1;465;old;늙은;3
Lv1;473;out;밖에;3
Lv1;485;pay;지불하다;3
Lv1;488;pen;펜/만년필;3
Lv1;496;pig;돼지;3
Lv1;498;pin;핀;3
Lv1;523;put;놓다;3
